Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
ISL,96.69,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 3, 1, 2, 1, 1, 1",Yes,2024: 3.10% | 2023: 8.27% | 2022: 4.65% | 2021: 9.31% | 2020: 3.10% | 2019: 1.55% | 2018: 1.55%,2024: Rs.3.00 | 2023: Rs.8.00 | 2022: Rs.4.50 | 2021: Rs.9.00 | 2020: Rs.3.00 | 2019: Rs.1.50 | 2018: Rs.1.50,100.0%,Perfect consistency: 7 consecutive years
JDMT,89.72,"2016, 2015, 2014, 2006, 2005","1, 1, 1, 1, 2",Yes,2016: 1.39% | 2015: 1.67% | 2014: 3.34% | 2006: 1.11% | 2005: 0.00%,2016: Rs.1.25 | 2015: Rs.1.50 | 2014: Rs.3.00 | 2006: Rs.1.00 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 5 years with dividends
JDWS,971.56,"2025, 2024, 2023, 2022, 2021","1, 2, 3, 3, 1",Yes,2025: 2.06% | 2024: 5.15% | 2023: 4.12% | 2022: 2.83% | 2021: 1.03%,2025: Rs.20.00 | 2024: Rs.50.00 | 2023: Rs.40.00 | 2022: Rs.27.50 | 2021: Rs.10.00,100.0%,Perfect consistency: 4 consecutive years
JGICL,66.55,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 8.26% | 2023: 7.51% | 2022: 6.01% | 2021: 6.01% | 2020: 5.26% | 2019: 1.50% | 2018: 6.01% | 2017: 6.01% | 2016: 5.26% | 2015: 4.51%,2024: Rs.5.50 | 2023: Rs.5.00 | 2022: Rs.4.00 | 2021: Rs.4.00 | 2020: Rs.3.50 | 2019: Rs.1.00 | 2018: Rs.4.00 | 2017: Rs.4.00 | 2016: Rs.3.50 | 2015: Rs.3.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
JKSM,162.65,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2014, 2013","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2022: 1.23% | 2021: 0.92% | 2020: 0.61% | 2019: 1.23% | 2018: 0.61% | 2017: 0.31% | 2016: 1.54% | 2014: 0.61% | 2013: 3.07%,2022: Rs.2.00 | 2021: Rs.1.50 | 2020: Rs.1.00 | 2019: Rs.2.00 | 2018: Rs.1.00 | 2017: Rs.0.50 | 2016: Rs.2.50 | 2014: Rs.1.00 | 2013: Rs.5.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
JLICL,174.0,"2024, 2023, 2022, 2021, 2020","2, 2, 2, 2, 2",Yes,2024: 7.47% | 2023: 7.47% | 2022: 7.47% | 2021: 8.33% | 2020: 9.48%,2024: Rs.13.00 | 2023: Rs.13.00 | 2022: Rs.13.00 | 2021: Rs.14.50 | 2020: Rs.16.50,100.0%,"Perfect consistency: 5 consecutive years, Pattern: 2 dividends per year"
JSBL,14.8,"2023, 2013, 2010, 2008, 2007","1, 1, 2, 1, 1",Yes,2023: 11.49% | 2013: 9.45% | 2010: 44.59% | 2008: 13.51% | 2007: 33.78%,2023: Rs.1.70 | 2013: Rs.1.40 | 2010: Rs.6.60 | 2008: Rs.2.00 | 2007: Rs.5.00,100.0%,High consistency (100.0%): 5 years with dividends
JSCL,23.95,"2023, 2020, 2015, 2014, 2013, 2009, 2008","1, 1, 1, 1, 1, 1, 4",Yes,2023: 2.51% | 2020: 8.35% | 2015: 8.35% | 2014: 6.26% | 2013: 3.13% | 2009: 4.18% | 2008: 182.14%,2023: Rs.0.60 | 2020: Rs.2.00 | 2015: Rs.2.00 | 2014: Rs.1.50 | 2013: Rs.0.75 | 2009: Rs.1.00 | 2008: Rs.43.62,100.0%,High consistency (100.0%): 7 years with dividends
JSGBETF,30.0,"2025, 2024, 2023","1, 1, 1",Yes,2025: 9.11% | 2024: 0.00% | 2023: 3.69%,2025: Rs.2.73 | 2024: Rs.0.00 | 2023: Rs.1.11,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
JSGCL,143.19,"2021, 2014, 2013, 2012, 2011, 2010","2, 2, 3, 1, 1, 1",Yes,2021: 10.48% | 2014: 2.79% | 2013: 6.63% | 2012: 1.05% | 2011: 1.40% | 2010: 3.49%,2021: Rs.15.00 | 2014: Rs.4.00 | 2013: Rs.9.50 | 2012: Rs.1.50 | 2011: Rs.2.00 | 2010: Rs.5.00,100.0%,High consistency (100.0%): 6 years with dividends
JSIL,32.26,"2019, 2016, 2013, 2008","1, 1, 2, 2",Yes,2019: 12.40% | 2016: 1.55% | 2013: 6.20% | 2008: 7.75%,2019: Rs.4.00 | 2016: Rs.0.50 | 2013: Rs.2.00 | 2008: Rs.2.50,100.0%,High consistency (100.0%): 4 years with dividends
JSML,48.0,"2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 2, 2, 2",Yes,2023: 2.08% | 2022: 2.08% | 2021: 2.08% | 2020: 2.08% | 2019: 6.25% | 2018: 5.21% | 2017: 4.17%,2023: Rs.1.00 | 2022: Rs.1.00 | 2021: Rs.1.00 | 2020: Rs.1.00 | 2019: Rs.3.00 | 2018: Rs.2.50 | 2017: Rs.2.00,100.0%,Perfect consistency: 7 consecutive years
JVDC,73.61,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2014, 2012, 2009","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 5.43% | 2023: 8.15% | 2022: 0.00% | 2021: 2.72% | 2019: 1.36% | 2018: 0.95% | 2017: 3.40% | 2014: 13.59% | 2012: 13.59% | 2009: 13.59%,2024: Rs.4.00 | 2023: Rs.6.00 | 2022: Rs.0.00 | 2021: Rs.2.00 | 2019: Rs.1.00 | 2018: Rs.0.70 | 2017: Rs.2.50 | 2014: Rs.10.00 | 2012: Rs.10.00 | 2009: Rs.10.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
KAPCO,34.28,"2024, 2023, 2022, 2021, 2020","2, 2, 3, 2, 1",Yes,2024: 24.80% | 2023: 27.71% | 2022: 33.55% | 2021: 24.80% | 2020: 4.38%,2024: Rs.8.50 | 2023: Rs.9.50 | 2022: Rs.11.50 | 2021: Rs.8.50 | 2020: Rs.1.50,100.0%,Perfect consistency: 5 consecutive years
KCL,170.0,"2019, 2018, 2015, 2014, 2011, 2008, 2007, 2006, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2019: 0.29% | 2018: 0.47% | 2015: 0.71% | 2014: 0.59% | 2011: 0.59% | 2008: 0.74% | 2007: 0.74% | 2006: 1.96% | 2005: 0.88% | 2004: 0.88%,2019: Rs.0.50 | 2018: Rs.0.80 | 2015: Rs.1.20 | 2014: Rs.1.00 | 2011: Rs.1.00 | 2008: Rs.1.25 | 2007: Rs.1.25 | 2006: Rs.3.33 | 2005: Rs.1.50 | 2004: Rs.1.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
KEL,5.07,"2014, 2011, 2010, 2009, 2005, 2004","1, 2, 1, 2, 1, 1",Yes,2014: 29.59% | 2011: 32.45% | 2010: 15.38% | 2009: 89.74% | 2005: 0.00% | 2004: 0.00%,2014: Rs.1.50 | 2011: Rs.1.65 | 2010: Rs.0.78 | 2009: Rs.4.55 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
KHTC,468.63,"2023, 2022, 2017, 2016, 2015, 2014, 2013, 2012, 2008","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 0.64% | 2022: 0.43% | 2017: 7.09% | 2016: 2.13% | 2015: 1.28% | 2014: 2.13% | 2013: 1.07% | 2012: 1.07% | 2008: 0.32%,2023: Rs.3.00 | 2022: Rs.2.00 | 2017: Rs.33.21 | 2016: Rs.10.00 | 2015: Rs.6.00 | 2014: Rs.10.00 | 2013: Rs.5.00 | 2012: Rs.5.00 | 2008: Rs.1.50,100.0%,High consistency (100.0%): 9 years with dividends
KHYT,1458.52,"2018, 2005","1, 1",Yes,2018: 0.57% | 2005: 0.00%,2018: Rs.8.31 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 2 years with dividends, Pattern: 1 dividends per year"
KML,67.06,"2023, 2022, 2019, 2018, 2017, 2007","1, 1, 1, 1, 1, 2",Yes,2023: 4.47% | 2022: 2.98% | 2019: 4.47% | 2018: 1.79% | 2017: 1.64% | 2007: 7.83%,2023: Rs.3.00 | 2022: Rs.2.00 | 2019: Rs.3.00 | 2018: Rs.1.20 | 2017: Rs.1.10 | 2007: Rs.5.25,100.0%,High consistency (100.0%): 6 years with dividends
KOHC,457.24,"2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 3, 3, 1",Yes,2019: 0.55% | 2018: 1.09% | 2017: 0.44% | 2016: 2.84% | 2015: 3.06% | 2014: 0.44%,2019: Rs.2.50 | 2018: Rs.5.00 | 2017: Rs.2.00 | 2016: Rs.13.00 | 2015: Rs.14.00 | 2014: Rs.2.00,100.0%,Perfect consistency: 6 consecutive years
KOHE,21.18,"2024, 2023, 2022, 2021","3, 2, 2, 3",Yes,2024: 82.63% | 2023: 28.33% | 2022: 21.25% | 2021: 61.38%,2024: Rs.17.50 | 2023: Rs.6.00 | 2022: Rs.4.50 | 2021: Rs.13.00,100.0%,Perfect consistency: 4 consecutive years
KOHTM,62.44,"2025, 2024, 2021, 2019, 2018, 2017, 2015, 2014, 2013, 2012","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2025: 1.60% | 2024: 1.60% | 2021: 1.60% | 2019: 1.60% | 2018: 1.20% | 2017: 1.60% | 2015: 1.20% | 2014: 2.00% | 2013: 2.00% | 2012: 1.60%,2025: Rs.1.00 | 2024: Rs.1.00 | 2021: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.0.75 | 2017: Rs.1.00 | 2015: Rs.0.75 | 2014: Rs.1.25 | 2013: Rs.1.25 | 2012: Rs.1.00,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
KOIL,12.44,"2020, 2007","1, 2",Yes,2020: 6.03% | 2007: 8.04%,2020: Rs.0.75 | 2007: Rs.1.00,100.0%,High consistency (100.0%): 2 years with dividends
KOSM,6.36,"2014, 2013, 2012, 2010, 2006, 2005","1, 2, 1, 1, 1, 1",Yes,2014: 7.86% | 2013: 62.89% | 2012: 15.72% | 2010: 7.86% | 2006: 11.79% | 2005: 0.00%,2014: Rs.0.50 | 2013: Rs.4.00 | 2012: Rs.1.00 | 2010: Rs.0.50 | 2006: Rs.0.75 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
KPUS,140.0,"2006, 2005","1, 1",Yes,2006: 0.00% | 2005: 0.00%,2006: Rs.0.00 | 2005: Rs.0.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
KSBP,218.3,"2024, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 6.14% | 2021: 0.39% | 2020: 0.23% | 2019: 0.69% | 2018: 1.37% | 2017: 5.51% | 2016: 3.89% | 2015: 3.21% | 2014: 2.29%,2024: Rs.13.41 | 2021: Rs.0.85 | 2020: Rs.0.50 | 2019: Rs.1.50 | 2018: Rs.3.00 | 2017: Rs.12.02 | 2016: Rs.8.50 | 2015: Rs.7.00 | 2014: Rs.5.00,100.0%,High consistency (100.0%): 9 years with dividends
KTML,240.99,"2021, 2020, 2019, 2018, 2017","2, 2, 2, 2, 2",Yes,2021: 0.83% | 2020: 0.83% | 2019: 0.73% | 2018: 0.83% | 2017: 1.14%,2021: Rs.2.00 | 2020: Rs.2.00 | 2019: Rs.1.75 | 2018: Rs.2.00 | 2017: Rs.2.75,100.0%,"Perfect consistency: 5 consecutive years, Pattern: 2 dividends per year"
LCI,369.93,"2025, 2024, 2023, 2022","1, 2, 2, 2",Yes,2025: 8.38% | 2024: 18.11% | 2023: 16.22% | 2022: 6.76%,2025: Rs.31.00 | 2024: Rs.67.00 | 2023: Rs.60.00 | 2022: Rs.25.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 2 dividends per year"
LEUL,43.84,"2016, 2011, 2005, 2004","1, 1, 1, 1",Yes,2016: 0.57% | 2011: 0.57% | 2005: 0.00% | 2004: 1.14%,2016: Rs.0.25 | 2011: Rs.0.25 | 2005: Rs.0.00 | 2004: Rs.0.50,100.0%,"High consistency (100.0%): 4 years with dividends, Pattern: 1 dividends per year"
LOADS,15.11,"2020, 2017, 2016","1, 1, 1",Yes,2020: 43.75% | 2017: 6.62% | 2016: 6.62%,2020: Rs.6.61 | 2017: Rs.1.00 | 2016: Rs.1.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
LOTCHEM,21.08,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 2, 2, 1, 1, 1, 1, 1",Yes,2024: 2.37% | 2023: 14.23% | 2022: 28.46% | 2021: 7.12% | 2020: 3.56% | 2019: 7.12% | 2018: 7.12% | 2017: 0.95%,2024: Rs.0.50 | 2023: Rs.3.00 | 2022: Rs.6.00 | 2021: Rs.1.50 | 2020: Rs.0.75 | 2019: Rs.1.50 | 2018: Rs.1.50 | 2017: Rs.0.20,100.0%,Perfect consistency: 8 consecutive years
LPGL,122.57,"2012, 2009, 2006, 2005, 2004","1, 1, 1, 1, 1",Yes,2012: 0.61% | 2009: 0.98% | 2006: 1.14% | 2005: 1.06% | 2004: 0.98%,2012: Rs.0.75 | 2009: Rs.1.20 | 2006: Rs.1.40 | 2005: Rs.1.30 | 2004: Rs.1.20,100.0%,"High consistency (100.0%): 5 years with dividends, Pattern: 1 dividends per year"
LPL,27.5,"2024, 2023, 2022, 2021, 2020","2, 1, 2, 2, 3",Yes,2024: 14.55% | 2023: 54.55% | 2022: 12.73% | 2021: 7.27% | 2020: 11.82%,2024: Rs.4.00 | 2023: Rs.15.00 | 2022: Rs.3.50 | 2021: Rs.2.00 | 2020: Rs.3.25,100.0%,Perfect consistency: 5 consecutive years
LSEVL,12.84,"2024, 2023","1, 1",Yes,2024: 7.79% | 2023: 3.89%,2024: Rs.1.00 | 2023: Rs.0.50,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
LUCK,374.94,"2024, 2023, 2019, 2018, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 2, 1, 1, 1, 1",Yes,2024: 4.00% | 2023: 4.80% | 2019: 1.73% | 2018: 2.13% | 2017: 4.53% | 2016: 2.67% | 2015: 2.40% | 2014: 2.40% | 2013: 2.13%,2024: Rs.15.00 | 2023: Rs.18.00 | 2019: Rs.6.50 | 2018: Rs.8.00 | 2017: Rs.17.00 | 2016: Rs.10.00 | 2015: Rs.9.00 | 2014: Rs.9.00 | 2013: Rs.8.00,100.0%,High consistency (100.0%): 9 years with dividends
MACFL,32.34,"2024, 2023, 2022, 2018, 2017, 2016, 2015, 2012","1, 1, 1, 1, 2, 1, 1, 2",Yes,2024: 3.87% | 2023: 4.64% | 2022: 3.09% | 2018: 0.62% | 2017: 18.40% | 2016: 3.09% | 2015: 3.09% | 2012: 4.64%,2024: Rs.1.25 | 2023: Rs.1.50 | 2022: Rs.1.00 | 2018: Rs.0.20 | 2017: Rs.5.95 | 2016: Rs.1.00 | 2015: Rs.1.00 | 2012: Rs.1.50,100.0%,High consistency (100.0%): 8 years with dividends
MACTER,379.37,"2025, 2024, 2023, 2022, 2021, 2020","1, 2, 1, 2, 3, 1",Yes,2025: 0.47% | 2024: 0.26% | 2023: 0.14% | 2022: 0.54% | 2021: 1.43% | 2020: 0.50%,2025: Rs.1.80 | 2024: Rs.1.00 | 2023: Rs.0.54 | 2022: Rs.2.04 | 2021: Rs.5.41 | 2020: Rs.1.90,100.0%,Perfect consistency: 5 consecutive years
MARI,624.63,"2024, 2023, 2022, 2021, 2020","1, 2, 1, 4, 2",Yes,2024: 12.81% | 2023: 24.97% | 2022: 14.25% | 2021: 41.46% | 2020: 1.28%,2024: Rs.80.00 | 2023: Rs.156.00 | 2022: Rs.89.00 | 2021: Rs.259.00 | 2020: Rs.8.00,100.0%,Perfect consistency: 5 consecutive years
MCB,358.83,"2025, 2024, 2023, 2022","1, 4, 3, 2",Yes,2025: 2.51% | 2024: 10.03% | 2023: 6.69% | 2022: 3.34%,2025: Rs.9.00 | 2024: Rs.36.00 | 2023: Rs.24.00 | 2022: Rs.12.00,100.0%,Perfect consistency: 3 consecutive years
MCBIM,143.76,"2024, 2023, 2022","2, 2, 1",Yes,2024: 4.17% | 2023: 6.26% | 2022: 0.70%,2024: Rs.6.00 | 2023: Rs.9.00 | 2022: Rs.1.00,100.0%,Perfect consistency: 3 consecutive years
MDTL,3.48,"2013, 2011","1, 1",Yes,2013: 40.23% | 2011: 95.78%,2013: Rs.1.40 | 2011: Rs.3.33,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
MEBL,363.87,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 1.92% | 2024: 7.70% | 2023: 5.50% | 2022: 0.82%,2025: Rs.7.00 | 2024: Rs.28.00 | 2023: Rs.20.00 | 2022: Rs.3.00,100.0%,Perfect consistency: 3 consecutive years
MEHT,341.12,"2023, 2022, 2021, 2019, 2018, 2017, 2015, 2014, 2013, 2012","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 1.76% | 2022: 2.93% | 2021: 2.93% | 2019: 0.73% | 2018: 0.73% | 2017: 2.64% | 2015: 2.93% | 2014: 2.93% | 2013: 2.93% | 2012: 2.93%,2023: Rs.6.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.2.50 | 2018: Rs.2.50 | 2017: Rs.9.00 | 2015: Rs.10.00 | 2014: Rs.10.00 | 2013: Rs.10.00 | 2012: Rs.10.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
MERIT,11.16,"2021, 2017, 2013, 2008, 2007, 2006, 2005, 2004","1, 1, 1, 1, 1, 1, 2, 1",Yes,2021: 132.62% | 2017: 89.61% | 2013: 672.04% | 2008: 13.44% | 2007: 44.80% | 2006: 31.36% | 2005: 62.72% | 2004: 31.36%,2021: Rs.14.80 | 2017: Rs.10.00 | 2013: Rs.75.00 | 2008: Rs.1.50 | 2007: Rs.5.00 | 2006: Rs.3.50 | 2005: Rs.7.00 | 2004: Rs.3.50,100.0%,High consistency (100.0%): 8 years with dividends
MFFL,207.31,"2020, 2015, 2014, 2013, 2012, 2011, 2010, 2009","1, 1, 1, 1, 1, 1, 2, 2",Yes,2020: 9.19% | 2015: 1.21% | 2014: 2.41% | 2013: 3.62% | 2012: 3.62% | 2011: 3.38% | 2010: 3.86% | 2009: 1.45%,2020: Rs.19.05 | 2015: Rs.2.50 | 2014: Rs.5.00 | 2013: Rs.7.50 | 2012: Rs.7.50 | 2011: Rs.7.00 | 2010: Rs.8.00 | 2009: Rs.3.00,100.0%,High consistency (100.0%): 8 years with dividends
MFL,51.03,"2023, 2022, 2020, 2019, 2018, 2017","2, 1, 1, 1, 1, 1",Yes,2023: 1.96% | 2022: 0.98% | 2020: 0.88% | 2019: 1.37% | 2018: 0.78% | 2017: 0.59%,2023: Rs.1.00 | 2022: Rs.0.50 | 2020: Rs.0.45 | 2019: Rs.0.70 | 2018: Rs.0.40 | 2017: Rs.0.30,100.0%,Minor gap detected but overall consistent: 6 years with dividends
MIRKS,34.88,"2023, 2022, 2019, 2018, 2016, 2015, 2013, 2012","2, 1, 1, 1, 1, 2, 1, 1",Yes,2023: 69.66% | 2022: 4.30% | 2019: 2.87% | 2018: 4.30% | 2016: 14.33% | 2015: 17.78% | 2013: 2.87% | 2012: 4.30%,2023: Rs.24.30 | 2022: Rs.1.50 | 2019: Rs.1.00 | 2018: Rs.1.50 | 2016: Rs.5.00 | 2015: Rs.6.20 | 2013: Rs.1.00 | 2012: Rs.1.50,100.0%,High consistency (100.0%): 8 years with dividends
MLCF,84.41,"2019, 2018, 2017, 2016, 2015","2, 1, 3, 2, 2",Yes,2019: 10.66% | 2018: 1.18% | 2017: 5.33% | 2016: 5.33% | 2015: 2.96%,2019: Rs.9.00 | 2018: Rs.1.00 | 2017: Rs.4.50 | 2016: Rs.4.50 | 2015: Rs.2.50,100.0%,Perfect consistency: 5 consecutive years
MQTM,43.65,"2022, 2021, 2019, 2018, 2013, 2012, 2011, 2010, 2005","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2022: 2.29% | 2021: 4.01% | 2019: 4.01% | 2018: 2.86% | 2013: 6.30% | 2012: 10.31% | 2011: 5.73% | 2010: 5.15% | 2005: 2.86%,2022: Rs.1.00 | 2021: Rs.1.75 | 2019: Rs.1.75 | 2018: Rs.1.25 | 2013: Rs.2.75 | 2012: Rs.4.50 | 2011: Rs.2.50 | 2010: Rs.2.25 | 2005: Rs.1.25,100.0%,High consistency (100.0%): 9 years with dividends
MRNS,72.02,"2025, 2023, 2022, 2021","2, 4, 2, 2",Yes,2025: 3.47% | 2023: 11.80% | 2022: 3.47% | 2021: 2.43%,2025: Rs.2.50 | 2023: Rs.8.50 | 2022: Rs.2.50 | 2021: Rs.1.75,100.0%,Perfect consistency: 3 consecutive years
MSOT,67.5,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2019: 2.22% | 2018: 2.22% | 2017: 2.59% | 2016: 8.37% | 2015: 6.44% | 2014: 2.22% | 2013: 2.59% | 2012: 2.59% | 2011: 2.59%,2019: Rs.1.50 | 2018: Rs.1.50 | 2017: Rs.1.75 | 2016: Rs.5.65 | 2015: Rs.4.35 | 2014: Rs.1.50 | 2013: Rs.1.75 | 2012: Rs.1.75 | 2011: Rs.1.75,100.0%,Perfect consistency: 9 consecutive years
MTL,567.8,"2024, 2023, 2022, 2021, 2020","1, 3, 3, 2, 1",Yes,2024: 7.93% | 2023: 7.93% | 2022: 5.64% | 2021: 16.73% | 2020: 8.81%,2024: Rs.45.00 | 2023: Rs.45.00 | 2022: Rs.32.00 | 2021: Rs.95.00 | 2020: Rs.50.00,100.0%,Perfect consistency: 5 consecutive years
MUGHAL,65.23,"2025, 2023, 2021, 2020, 2019, 2018, 2017","1, 1, 2, 1, 1, 1, 3",Yes,2025: 1.51% | 2023: 4.91% | 2021: 6.90% | 2020: 4.60% | 2019: 1.84% | 2018: 3.37% | 2017: 19.32%,2025: Rs.0.98 | 2023: Rs.3.20 | 2021: Rs.4.50 | 2020: Rs.3.00 | 2019: Rs.1.20 | 2018: Rs.2.20 | 2017: Rs.12.60,100.0%,Minor gap detected but overall consistent: 6 years with dividends
MUREB,886.9,"2025, 2024, 2023, 2022","1, 4, 3, 2",Yes,2025: 1.13% | 2024: 4.74% | 2023: 2.31% | 2022: 1.69%,2025: Rs.10.00 | 2024: Rs.42.00 | 2023: Rs.20.50 | 2022: Rs.15.00,100.0%,Perfect consistency: 3 consecutive years
MZNPETF,17.06,"2025, 2024, 2021","1, 1, 1",Yes,2025: 13.19% | 2024: 5.86% | 2021: 7.33%,2025: Rs.2.25 | 2024: Rs.1.00 | 2021: Rs.1.25,100.0%,"High consistency (100.0%): 2 years with dividends, Pattern: 1 dividends per year"
NAGC,74.17,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 2.02% | 2023: 8.09% | 2022: 13.48% | 2021: 13.48% | 2019: 6.74% | 2018: 5.39% | 2017: 4.04% | 2016: 1.35% | 2015: 4.72%,2024: Rs.1.50 | 2023: Rs.6.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.5.00 | 2018: Rs.4.00 | 2017: Rs.3.00 | 2016: Rs.1.00 | 2015: Rs.3.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends
NATF,349.42,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 2, 2, 1, 1, 1, 1, 1",Yes,2025: 1.14% | 2024: 4.01% | 2023: 2.29% | 2022: 2.86% | 2021: 2.86% | 2020: 2.86% | 2019: 2.29% | 2018: 2.15%,2025: Rs.4.00 | 2024: Rs.14.00 | 2023: Rs.8.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2020: Rs.10.00 | 2019: Rs.8.00 | 2018: Rs.7.50,100.0%,Perfect consistency: 7 consecutive years
NATM,80.0,"2022, 2021, 2019, 2018, 2017, 2012, 2010, 2004","1, 1, 1, 1, 2, 1, 2, 1",Yes,2022: 7.50% | 2021: 3.75% | 2019: 2.63% | 2018: 4.00% | 2017: 3.31% | 2012: 6.25% | 2010: 5.00% | 2004: 0.00%,2022: Rs.6.00 | 2021: Rs.3.00 | 2019: Rs.2.10 | 2018: Rs.3.20 | 2017: Rs.2.65 | 2012: Rs.5.00 | 2010: Rs.4.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 8 years with dividends
NBP,126.76,"2024, 2021, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 6.31% | 2021: 0.79% | 2016: 5.92% | 2015: 5.92% | 2014: 4.34% | 2013: 1.58% | 2012: 5.52% | 2011: 5.92% | 2010: 5.92% | 2009: 5.92%,2024: Rs.8.00 | 2021: Rs.1.00 | 2016: Rs.7.50 | 2015: Rs.7.50 | 2014: Rs.5.50 | 2013: Rs.2.00 | 2012: Rs.7.00 | 2011: Rs.7.50 | 2010: Rs.7.50 | 2009: Rs.7.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
NBPGETF,25.55,"2025, 2024, 2023, 2021","1, 1, 2, 1",Yes,2025: 11.68% | 2024: 6.88% | 2023: 1.88% | 2021: 3.13%,2025: Rs.2.98 | 2024: Rs.1.76 | 2023: Rs.0.48 | 2021: Rs.0.80,100.0%,Minor gap detected but overall consistent: 3 years with dividends
NCL,48.93,"2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 2, 1, 1, 2, 1, 1",Yes,2024: 2.04% | 2022: 8.17% | 2021: 16.35% | 2020: 2.04% | 2019: 5.11% | 2018: 11.24% | 2017: 5.62% | 2016: 5.11%,2024: Rs.1.00 | 2022: Rs.4.00 | 2021: Rs.8.00 | 2020: Rs.1.00 | 2019: Rs.2.50 | 2018: Rs.5.50 | 2017: Rs.2.75 | 2016: Rs.2.50,100.0%,Minor gap detected but overall consistent: 8 years with dividends
NCPL,26.46,"2025, 2024, 2022, 2019, 2018, 2017, 2016","1, 1, 1, 1, 2, 1, 3",Yes,2025: 7.56% | 2024: 18.90% | 2022: 37.79% | 2019: 3.78% | 2018: 9.45% | 2017: 3.78% | 2016: 17.95%,2025: Rs.2.00 | 2024: Rs.5.00 | 2022: Rs.10.00 | 2019: Rs.1.00 | 2018: Rs.2.50 | 2017: Rs.1.00 | 2016: Rs.4.75,100.0%,High consistency (100.0%): 6 years with dividends
NESTLE,8698.32,"2025, 2024, 2023, 2022","1, 3, 3, 3",Yes,2025: 2.56% | 2024: 1.91% | 2023: 2.22% | 2022: 2.87%,2025: Rs.223.00 | 2024: Rs.166.00 | 2023: Rs.193.00 | 2022: Rs.250.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 3 dividends per year"
